x,y,z,num_drop,volume[ml],RoI
.000000,.000000,1.250000,0,.000000,.000000
.1000000,.000000,1.250000,0,.000000,.000000
.2000000,.000000,1.250000,0,.000000,.000000
.3000000,.000000,1.250000,0,.000000,.000000
.4000000,.000000,1.250000,0,.000000,.000000
.5000000,.000000,1.250000,0,.000000,.000000
.6000000,.000000,1.250000,0,.000000,.000000
.7000000,.000000,1.250000,0,.000000,.000000
.8000000,.000000,1.250000,0,.000000,.000000
.9000000,.000000,1.250000,0,.000000,.000000
1.000000,.000000,1.250000,0,.000000,.000000
1.100000,.000000,1.250000,0,.000000,.000000
1.200000,.000000,1.250000,0,.000000,.000000
1.300000,.000000,1.250000,0,.000000,.000000
1.400000,.000000,1.250000,0,.000000,.000000
1.500000,.000000,1.250000,0,.000000,.000000
1.600000,.000000,1.250000,0,.000000,.000000
1.700000,.000000,1.250000,0,.000000,.000000
1.800000,.000000,1.250000,0,.000000,.000000
1.900000,.000000,1.250000,0,.000000,.000000
2.000000,.000000,1.250000,0,.000000,.000000
2.100000,.000000,1.250000,0,.000000,.000000
2.200000,.000000,1.250000,0,.000000,.000000
2.300000,.000000,1.250000,9,.1792279E-08,.1194119E-02
2.400000,.000000,1.250000,3,.6267477E-09,.4177690E-03
2.500000,.000000,1.250000,1,.1278317E-06,.8169085E-01
2.600000,.000000,1.250000,15,.1416463E-06,.9010935E-01
2.700000,.000000,1.250000,18,.1455584E-07,.9656966E-02
2.800000,.000000,1.250000,1,.3817035E-12,.2384186E-06
2.900000,.000000,1.250000,3,.4475351E-09,.2983212E-03
3.000000,.000000,1.250000,0,.000000,.000000
3.100000,.000000,1.250000,2,.7958701E-10,.5304813E-04
3.200000,.000000,1.250000,0,.000000,.000000
3.300000,.000000,1.250000,0,.000000,.000000
3.400000,.000000,1.250000,3,.2591814E-09,.1727939E-03
3.500000,.000000,1.250000,5,.8204793E-09,.5468130E-03
3.600000,.000000,1.250000,1,.3817035E-09,.2544522E-03
3.700000,.000000,1.250000,1,.3817035E-09,.2544522E-03
3.800000,.000000,1.250000,0,.000000,.000000
3.900000,.000000,1.250000,7,.1520204E-08,.1012981E-02
4.000000,.000000,1.250000,2,.5612979E-09,.3741384E-03
4.100000,.000000,1.250000,2,.1282134E-06,.8192450E-01
4.200000,.000000,1.250000,0,.000000,.000000
4.300000,.000000,1.250000,0,.000000,.000000
4.400000,.000000,1.250000,0,.000000,.000000
4.500000,.000000,1.250000,0,.000000,.000000
4.600000,.000000,1.250000,0,.000000,.000000
4.700000,.000000,1.250000,0,.000000,.000000
4.800000,.000000,1.250000,0,.000000,.000000
4.900000,.000000,1.250000,0,.000000,.000000
5.000000,.000000,1.250000,0,.000000,.000000
